AX	AY	BX	BY	CX	CY	DX	DY	EX	EY	FX	FY	GX	GY	HX	HY	IX	IY	JX	JY	KX	KY	LX	LY	MX	MY	NX	NY	OX	OY	PX	PY	QX	QY	RX	RY	SX	SY	TX	TY	UX	UY
175.4054862	9.049592397	174.4867217	9.313775681	173.3878164	9.681085135	172.0769404	10.14826245	170.5234336	10.73980006	168.7008365	11.48610511	166.5763511	12.50970511	164.113927	13.87362272	161.2655931	15.62823763	157.966156	18.11725712	154.1191626	21.59128541	149.5643046	26.4572171	144.044865	33.80801315	134.2333766	45.40616607	116.2587197	65.93681123	89.66406058	110.206953	63.64642981	180.5724955	49.86300738	229.8518674	43.72931098	257.4115482	40.49608463	275.6756954	38.35388073	289.2529216
181.0146546	9.067175328	180.1183818	9.309583167	179.0500439	9.653168372	177.7814798	10.08799236	176.2841662	10.63581182	174.5308587	11.32345257	172.4918265	12.22502243	170.1335815	13.4617077	167.4196751	15.03761584	164.2908538	17.15294282	160.6695251	20.16873347	156.4293603	24.30717381	151.378052	30.19565084	144.6051133	39.4998488	130.2202518	54.77081566	107.3096807	85.14406595	77.90800239	147.1485786	57.21650603	213.2016198	47.69320433	250.3099381	43.23941605	272.5526477	40.57134618	288.3767489
186.6230215	9.083278102	185.748581	9.305448732	184.7129708	9.627462141	183.4821643	10.03303182	182.0361705	10.54160756	180.3460264	11.17683346	178.3854462	11.9705731	176.1257235	13.0964305	173.5311255	14.51944349	170.5533359	16.33430438	167.1297393	18.96363386	163.1585232	22.52262977	158.4832603	27.47192041	152.8403363	34.97984605	142.5652938	46.84125746	123.7069234	67.93997977	95.68550108	113.5094508	67.9464752	187.1549772	53.12820227	239.1143153	46.51497889	267.6250721	43.05968019	286.34251
192.2337939	9.098041588	191.3796541	9.305123679	190.3714403	9.603581605	189.178536	9.982678401	187.7795295	10.45590488	186.1489272	11.04426208	184.2607525	11.77383267	182.0910161	12.77100934	179.6048016	14.06181449	176.7647385	15.69294602	173.5158196	17.93183828	169.7745799	21.0242028	165.4188153	25.23685129	160.2529962	31.18963315	153.2901935	40.67716181	138.2450147	56.32297385	114.2485556	87.44913275	83.163862	151.2739373	60.95530061	220.9886989	50.70022052	260.0173324	45.91171808	282.8948765
197.8456567	9.111531383	197.0104895	9.307038544	196.0284594	9.581339192	194.8698979	9.936325128	193.515243	10.37762339	191.93968	10.92382384	190.1203591	11.59808218	188.0320295	12.47946297	185.6462471	13.65535621	182.9305508	15.12890716	179.8369681	17.0408549	176.2989308	19.75029596	172.2153442	23.37711881	167.4305871	28.38629509	161.6821647	36.01227512	151.0298877	48.08756528	131.3706126	69.63526429	101.9987732	116.2263134	72.45308889	192.6705626	56.47996483	247.9691726	49.34284611	277.5853343
203.4582079	9.123836769	202.6409521	9.308639373	201.6841217	9.560475732	200.5579672	9.893509105	199.2442788	10.30580045	197.7202375	10.81404012	195.9646758	11.43887122	193.9541105	12.21714607	191.6590894	13.29239224	189.0565413	14.62983287	186.1019177	16.30730361	182.7431393	18.6586233	178.89289	21.81227991	174.4335015	26.08009336	169.1671068	32.07942605	162.0689374	41.69075832	146.4516221	57.63957238	121.4661484	89.31512988	88.71234961	154.6780752	64.84116129	228.025334	53.77370226	269.4153277
209.071931	9.134984211	208.2724605	9.309927062	207.3386358	9.540842394	206.2414496	9.853686316	204.9665292	10.2396339	203.4911776	10.71358949	201.7946808	11.29392443	199.8554681	12.00283895	197.6473072	12.96673123	195.1462992	14.18597838	192.3187182	15.70234086	189.1170381	17.71434	185.475915	20.47904583	181.2894635	24.15816218	176.4093527	29.20423347	170.5704182	36.91136092	159.6397176	49.14387313	139.2699425	71.01553302	108.6334804	118.3370562	77.19484558	197.2375671	59.93447021	256.3461514
214.6864157	9.14506045	213.9045158	9.310936456	212.9914949	9.522205057	211.9225761	9.816592814	210.6843284	10.17851849	209.2544338	10.62141324	207.6127335	11.16175248	205.7404277	11.81885554	203.6112253	12.67321885	201.2059359	13.78870383	198.4914056	15.16614642	195.4332366	16.89092828	191.9737972	19.33473405	188.0254827	22.5354444	183.4729409	26.84092534	178.1176158	32.91192512	170.9419785	42.54588794	154.8533445	58.71973679	128.9903664	90.72803157	94.5934329	157.315341	68.90311028	234.2365588
220.3015178	9.15411145	219.5352417	9.311511944	218.6428527	9.5063811	217.6013973	9.781942051	216.3974742	10.12189959	215.0087375	10.53643086	213.4208462	11.04043542	211.6092773	11.65108913	209.5555429	12.40759683	207.2371045	13.43177036	204.628806	14.68803273	201.6973386	16.2401158	198.3995371	18.34298845	194.6636507	21.15155815	190.3843726	24.86685279	185.420786	29.93001496	179.5033699	37.68349643	168.4039195	50.01006625	147.4209796	72.07968367	115.6372992	119.7994182	82.21221636	200.9652039
225.9173126	9.162227209	225.165747	9.311682216	224.2924527	9.496270574	223.2762043	9.749334073	222.1051786	10.06916108	220.7561213	10.45787291	219.2169811	10.92892286	217.4637082	11.49764729	215.4790814	12.18341979	213.2422888	13.10955621	210.7331477	14.2597413	207.9188161	15.67034136	204.762935	17.47696834	201.2122544	19.96089641	197.1761074	23.19584944	192.5361896	27.52339657	187.1044126	33.63791974	179.9129447	43.24474788	163.4644884	59.55968624	136.8455885	91.68319712	100.8467458	159.1508927
231.5352977	9.169474957	230.7957381	9.311546603	229.9412259	9.486502277	228.9520118	9.71852107	227.8091377	10.01992676	226.4980637	10.38516065	225.0039892	10.82608788	223.3057794	11.35682614	221.3855206	11.99452088	219.2258391	12.81750828	216.8060923	13.87423549	214.0997335	15.16177722	211.0753694	16.74306844	207.6853107	18.92770243	203.8625447	21.76890988	199.5018536	25.50686741	194.4632458	30.56930747	188.4802986	38.33582981	177.333167	50.6852629	155.8407084	72.82532686	123.0313068	120.6253324
237.152967	9.175856723	236.4271067	9.311085501	235.5897821	9.477132456	234.6224833	9.689420778	233.5090014	9.973799063	232.2342528	10.31740923	230.7816255	10.73088264	229.1356952	11.22720791	227.2761221	11.82148491	225.1876675	12.55180486	222.8512372	13.52578275	220.2430185	14.70539797	217.3385877	16.14363565	214.0957628	18.02369323	210.4574772	20.53901604	206.3422331	23.79700163	201.6274353	28.1305676	196.1304172	34.2603736	188.9680017	43.80119337	172.2870172	60.1705604	145.0475558	92.1863411
242.7706786	9.181442122	242.058153	9.31026406	241.2376165	9.468039575	240.2906048	9.661797196	239.2043429	9.930437829	237.9640664	10.2541673	236.5514441	10.64259641	234.9548928	11.10758886	233.1522472	11.66250099	231.1302655	12.32382398	228.8721978	13.20949946	226.3555464	14.2939821	223.5610121	15.60753735	220.4498144	17.22761032	216.9771752	19.46970345	213.0745812	22.33465988	208.6428883	26.0813411	203.5348182	31.12791277	197.5009641	38.87393653	186.4322092	51.1701724	164.5350956	73.26506734
248.3909289	9.186285144	247.6884792	9.309096041	246.883845	9.45917044	245.9599847	9.641095651	244.898007	9.889623461	243.6887586	10.1950582	242.3142795	10.56053177	240.7618798	10.99679087	239.0135471	11.51590639	237.0559811	12.1327016	234.8704547	12.92137597	232.4399122	13.92163992	229.7452248	15.12582504	226.7542365	16.58635474	223.4299064	18.53264	219.7143011	21.07070914	215.5282596	24.34069417	210.7456762	28.6667783	205.1942724	34.78725164	198.0940494	44.22940849	181.3283638	60.55326426
254.0107739	9.190413663	253.3201438	9.307671419	252.5318533	9.450572353	251.6267622	9.623372002	250.5890879	9.851142786	249.4105534	10.13972781	248.0702567	10.48400327	246.5603619	10.89400898	244.8642391	11.38043031	242.9648723	11.95675546	240.8493111	12.65796907	238.4975641	13.58302322	235.8939872	14.69102708	233.0156401	16.02597755	229.8247972	17.70646118	226.2766875	19.97032668	222.302041	22.84875604	217.8056003	26.59373055	212.6366955	31.6106606	206.5644593	39.30464256	195.6967389	51.4708837
259.6311365	9.193869822	258.9523179	9.305878535	258.1774508	9.442059016	257.2913915	9.606356614	256.2761637	9.81461522	255.1264911	10.08760952	253.8223007	10.41258334	252.3516523	10.79850486	250.7019867	11.25498362	248.8591109	11.79442519	246.8089702	12.43107557	244.5315085	13.27435274	242.0130424	14.29696825	239.2368396	15.52170873	236.1683943	16.99963658	232.7685887	19.00498604	228.9850629	21.55743837	224.732031	24.83023368	219.8941169	29.13530236	214.2914108	35.2259518	207.2779057	44.54233895
265.2535194	9.196724246	264.5840226	9.303771242	263.822505	9.433666378	262.9522362	9.589993016	261.961369	9.779866251	260.8385601	10.03842622	259.5682578	10.34569768	258.1351982	10.70928039	256.5299921	11.13861839	254.7403264	11.64458904	252.750238	12.23955081	250.5431144	12.99191644	248.1054749	13.93837	245.4234267	15.06605792	242.4675243	16.41792068	239.2034973	18.15228205	235.5848942	20.43136567	231.5445118	23.3155542	226.9918622	27.04791856	221.7721366	32.02037976	215.6693311	39.63641473
270.8752791	9.198954605	270.21649	9.30133524	269.4672893	9.425337009	268.6161957	9.574296995	267.6433566	9.752143368	266.5470922	9.99199533	265.3072345	10.28261466	263.911245	10.62578406	262.3493542	11.03027191	260.6108092	11.50556316	258.6770583	12.06275485	256.535704	12.73261095	254.1729266	13.61091011	251.5768716	14.65240595	248.7250616	15.89366301	245.5835913	17.39440719	242.1145947	19.44175307	238.2668367	22.00182034	233.9548723	25.26871733	229.0664766	29.5421104	223.4242234	35.58045626
276.4977527	9.200623686	275.8488425	9.298643005	275.1125387	9.417122971	274.2761929	9.55917313	273.3262548	9.728401157	272.2522595	9.948017842	271.041958	10.22329111	269.6805911	10.54760669	268.1582423	10.92897277	266.4674135	11.37619909	264.5873492	11.89904209	262.5093283	12.51028376	260.2197251	13.31099513	257.7016968	14.27561952	254.9446794	15.41913383	251.9166721	16.78394574	248.5858424	18.56621982	244.9035714	20.85414477	240.805822	23.73599936	236.1995021	27.44746043	230.9401687	32.36306414
