VOC,NOX,24NOX,M1M1O3
1.8,5.6,42.46922199,5.475019292
1.8,5.8,44.34324121,5.183491897
1.8,6,46.20932709,4.920527892
1.8,7,55.44797214,3.91959101
1.8,8,64.57915769,3.257790963
1.8,9,73.6401282,2.793778051
1.8,10,82.6508883,2.47046462
1.8,11,91.61897293,2.232341972
1.8,12,100.5523309,2.051654831
1.8,13,109.4548694,1.913701556
1.8,14,118.3227559,1.808901487
1.8,15,127.1588116,1.730430311
1.8,16,135.9608899,1.67330587
1.8,17,144.7274676,1.633748349
1.8,18,153.4600335,1.613882671
1.8,19,162.1577644,1.607701566
1.8,20,170.8245379,1.610136337
1.8,21,179.4615915,1.619506357
1.8,22,188.0693763,1.634393316
1.8,23,196.6524364,1.653627991
1.8,24,205.213514,1.67623857
1.8,25,213.7539559,1.70148573
1.8,26,222.2786547,1.728778307
1.8,27,230.781971,1.757649454
1.8,28,239.2745884,1.787707306
1.8,29,247.750541,1.818682349
1.8,30,256.2164332,1.850327927
1.8,31,264.6691,1.882481639
1.8,32,273.112221,1.914994135
1.8,33,281.5423412,1.947772555
1.8,34,289.9612325,1.980688016
2.7,1,2.644946123,39.36884755
2.7,1.2,3.204432045,42.16307775
2.7,1.4,3.793395685,44.17299201
2.7,1.6,4.425545172,45.63008295
2.7,1.8,5.123377429,46.36261421
2.7,2,5.925693354,46.1980439
2.7,2.2,6.890605541,45.01247062
2.7,2.4,8.071114179,42.92009937
2.7,2.6,9.467135039,40.28930076
2.7,2.8,11.03590332,37.19992091
2.7,3,12.743467,33.52647271
2.7,3.2,14.56623857,29.98026347
2.7,3.4,16.48127622,26.80366187
2.7,3.6,18.47019342,23.97470841
2.7,3.8,20.51853212,21.44982439
2.7,4,22.61173211,19.19628182
2.7,4.2,24.73416487,17.27356727
2.7,4.4,26.86432331,15.56597095
2.7,4.6,28.97564966,14.10245977
2.7,4.8,31.05959575,12.87255435
2.7,5,33.1149457,11.82841894
2.7,5.2,35.14183873,10.92867739
2.7,5.4,37.14330017,10.14628266
2.7,5.6,39.12291734,9.460147976
2.7,5.8,41.08286977,8.854877683
2.7,6,43.02601862,8.317845819
2.7,7,52.55792725,6.348354555
2.7,8,61.88777634,5.110589622
2.7,9,71.09599789,4.271054956
2.7,10,80.22458505,3.670072159
2.7,11,89.29275364,3.223524153
2.7,12,98.31898521,2.898308267
2.7,13,107.3079882,2.646069538
2.7,14,116.2656021,2.44653437
2.7,15,125.1952528,2.287440108
2.7,16,134.095954,2.160380519
2.7,17,142.9688978,2.059249238
2.7,18,151.8128567,1.979499655
2.7,19,160.6260485,1.917702725
2.7,20,169.4073921,1.871161614
2.7,21,178.1584684,1.837631291
2.7,22,186.8776188,1.821735257
2.7,23,195.5645396,1.815433477
2.7,24,204.2211083,1.81621631
2.7,25,212.8500268,1.822923781
2.7,26,221.448584,1.834533697
2.7,27,230.0250972,1.850153093
2.7,28,238.5756742,1.869027601
2.7,29,247.1052041,1.890530336
2.7,30,255.6165003,1.914167261
